Serial No,time_stamp,AccXYZ_Measurement_Index,AccX_Measurement_Index,AccY_Measurement_Index,AccZ_Measurement_Index,AE_Measurement_Index,AccXYZ_range,AccX_range,AccY_range,AccZ_range,AE_range,AccXYZ_Absolute Peak,AccX_Absolute Peak,AccY_Absolute Peak,AccZ_Absolute Peak,AE_Absolute Peak,AccXYZ_Mean,AccX_Mean,AccY_Mean,AccZ_Mean,AE_Mean,AccXYZ_RMS,AccX_RMS,AccY_RMS,AccZ_RMS,AE_RMS,AccXYZ_Zero Crossing Rate,AccX_Zero Crossing Rate,AccY_Zero Crossing Rate,AccZ_Zero Crossing Rate,AE_Zero Crossing Rate,AccXYZ_Crest Factor,AccX_Crest Factor,AccY_Crest Factor,AccZ_Crest Factor,AE_Crest Factor,AccXYZ_K(t),AccX_K(t),AccY_K(t),AccZ_K(t),AE_K(t),AccXYZ_SNR,AccX_SNR,AccY_SNR,AccZ_SNR,AE_SNR,AccXYZ_Skewness,AccX_Skewness,AccY_Skewness,AccZ_Skewness,AE_Skewness,AccXYZ_Kurtosis,AccX_Kurtosis,AccY_Kurtosis,AccZ_Kurtosis,AE_Kurtosis
1,Tue Apr 26 15:43:04 2022,16,16,16,16,16,2.1754567623138428,3.56329345703125,3.088623046875,1.1651611328125,0.34820204973220825,2.1754567623138428,1.99993896484375,1.76617431640625,0.67242431640625,0.1998029351234436,1.097572922706604,0.9547698497772217,-0.03408550098538399,0.1097896546125412,-2.9368648029048927e-05,1.2078303098678589,1.124721646308899,0.38154855370521545,0.21971556544303894,0.04398420825600624,1.0,155.0,1028.0,705.0,5495.0,1.8011277914047241,1.7781634330749512,4.628963470458984,3.0604310035705566,4.542606353759766,0,0,0,0,0,0.9087145328521729,0.8488943576812744,-0.089334636926651,0.4996899366378784,-0.0006677089259028435,1.2371042966842651,1.285351276397705,-0.17679725587368011,1.1514689922332764,-0.3305177390575409,1.650984764099121,1.8193142414093018,3.815389394760132,2.921260118484497,3.0491201877593994
2,Tue Apr 26 15:43:07 2022,19,19,19,19,19,2.171926498413086,2.4923095703125,1.41375732421875,1.2659912109375,0.22006362676620483,2.171926498413086,1.99993896484375,0.7344970703125,0.75262451171875,0.11596351861953735,1.1555572748184204,0.9489652514457703,-0.032262496650218964,0.1082765981554985,-2.1434665541164577e-05,1.2857307195663452,1.236375093460083,0.37990227341651917,0.2888883650302887,0.04157720133662224,1.0,447.0,1037.0,688.0,1870.0,1.6892545223236084,1.6175826787948608,1.9333842992782593,2.605243444442749,2.7891130447387695,0,0,0,0,0,0.8987552523612976,0.76753830909729,-0.0849231481552124,0.37480428814888,-0.0005155389080755413,1.2553826570510864,1.3855301141738892,-0.3139701187610626,0.9499056935310364,-0.14871977269649506,1.6890791654586792,2.0074682235717773,1.7032737731933594,2.550800085067749,2.266688585281372
3,Tue Apr 26 15:43:09 2022,21,21,21,21,22,2.1375210285186768,2.50341796875,1.40069580078125,1.29193115234375,0.21736890077590942,2.1375210285186768,1.99993896484375,0.7535400390625,0.7548828125,0.11229318380355835,1.1452940702438354,0.9517611861228943,-0.033263206481933594,0.10905418545007706,-1.4668754374724813e-05,1.2917102575302124,1.200524926185608,0.37405073642730713,0.2955362796783447,0.04147915169596672,1.0,375.0,1036.0,761.0,2019.0,1.6547991037368774,1.6658871173858643,2.0145397186279297,2.55428147315979,2.7072198390960693,0,0,0,0,0,0.8866493701934814,0.7927875518798828,-0.08892699331045151,0.36900439858436584,-0.00035364163341000676,1.277632474899292,1.3673335313796997,-0.3338266611099243,0.9542074799537659,-0.12132233381271362,1.7433724403381348,1.9778449535369873,1.7061245441436768,2.5794267654418945,2.242382764816284
4,Tue Apr 26 15:43:12 2022,24,24,24,24,24,2.1409544944763184,2.44537353515625,1.48956298828125,1.29791259765625,0.21322989463806152,2.1409544944763184,1.99993896484375,0.76702880859375,0.76617431640625,0.10847622156143188,1.144446611404419,0.9469496011734009,-0.03352123126387596,0.10900936275720596,3.077080691582523e-05,1.2869393825531006,1.1938762664794922,0.3762800693511963,0.29880833625793457,0.04177851229906082,1.0,375.0,1037.0,769.0,1990.0,1.6636016368865967,1.6751643419265747,2.038451910018921,2.5640995502471924,2.5964596271514893,0,0,0,0,0,0.8892778158187866,0.793172299861908,-0.08908585458993912,0.3648136556148529,0.0007365223136730492,1.2753729820251465,1.3658596277236938,-0.3381146490573883,0.9511154294013977,-0.11550769954919815,1.7426731586456299,1.9828218221664429,1.6953376531600952,2.594958543777466,2.241805076599121
5,Tue Apr 26 15:43:15 2022,26,26,26,26,27,2.1584527492523193,2.51422119140625,1.4971923828125,1.20355224609375,0.21607482433319092,2.1584527492523193,1.99993896484375,0.80908203125,0.71905517578125,0.1136818528175354,1.1451646089553833,0.9490236043930054,-0.03271942213177681,0.10901546478271484,-2.1310055672074668e-05,1.2966198921203613,1.2079734802246094,0.3799317181110382,0.278706431388855,0.04093164950609207,1.0,393.0,1036.0,783.0,2035.0,1.664676547050476,1.655614972114563,2.1295459270477295,2.5799734592437744,2.777358293533325,0,0,0,0,0,0.883192241191864,0.7856327891349792,-0.08611921966075897,0.39114800095558167,-0.0005206253845244646,1.2843393087387085,1.3747146129608154,-0.3073247969150543,0.9958627820014954,-0.10160424560308456,1.7616515159606934,1.9986450672149658,1.6879533529281616,2.594616413116455,2.179722547531128
6,Tue Apr 26 15:43:17 2022,29,29,29,29,29,2.140136957168579,2.48992919921875,1.56341552734375,1.2481689453125,0.21994775533676147,2.140136957168579,1.99993896484375,0.80206298828125,0.75469970703125,0.11199027299880981,1.1469866037368774,0.9466931223869324,-0.032375067472457886,0.10854892432689667,-1.2675330253841821e-05,1.2841147184371948,1.1900094747543335,0.387216180562973,0.28790342807769775,0.04121715947985649,1.0,385.0,1036.0,773.0,2081.0,1.6666244268417358,1.680607557296753,2.071357011795044,2.621364116668701,2.717078924179077,0,0,0,0,0,0.8932119607925415,0.7955341339111328,-0.08360979706048965,0.37703239917755127,-0.00030752556631341577,1.2687914371490479,1.360418438911438,-0.30339810252189636,0.9707654714584351,-0.1010311171412468,1.7278573513031006,1.9737215042114258,1.6814751625061035,2.5910091400146484,2.221776247024536
7,Tue Apr 26 15:43:20 2022,31,31,32,32,32,2.1328327655792236,2.56451416015625,1.4425048828125,1.25323486328125,0.21370893716812134,2.1328327655792236,1.99993896484375,0.7445068359375,0.7564697265625,0.11029887199401855,1.1491297483444214,0.9485324621200562,-0.03358898311853409,0.10858611762523651,-2.375510121055413e-05,1.2960220575332642,1.2042224407196045,0.3859665095806122,0.28381627798080444,0.041296232491731644,1.0,371.0,1035.0,770.0,2046.0,1.6456762552261353,1.6607720851898193,1.9289414882659912,2.6653499603271484,2.6709184646606445,0,0,0,0,0,0.8866590857505798,0.7876721620559692,-0.08702564239501953,0.38259297609329224,-0.0005752365104854107,1.278564453125,1.3711225986480713,-0.314872682094574,0.9832391142845154,-0.10355176776647568,1.7476829290390015,1.9920228719711304,1.665677547454834,2.5864245891571045,2.229947328567505
8,Tue Apr 26 15:43:22 2022,34,34,34,34,34,2.1348376274108887,2.48968505859375,1.51080322265625,1.22698974609375,0.2110878825187683,2.1348376274108887,1.99993896484375,0.7642822265625,0.730224609375,0.11215585470199585,1.1514344215393066,0.9489419460296631,-0.03288635239005089,0.109217070043087,2.5035376893356442e-05,1.2942944765090942,1.2009347677230835,0.38999876379966736,0.2843514680862427,0.04108858108520508,1.0,389.0,1036.0,789.0,2018.0,1.6494219303131104,1.6653186082839966,1.9597042798995972,2.568035364151001,2.729611396789551,0,0,0,0,0,0.88962322473526,0.7901694178581238,-0.08432424813508987,0.3840918242931366,0.0006093025440350175,1.2728779315948486,1.365604043006897,-0.30627211928367615,0.9778317809104919,-0.11902213841676712,1.7336900234222412,1.9788274765014648,1.6760197877883911,2.5680429935455322,2.2393362522125244
9,Tue Apr 26 15:43:25 2022,36,36,36,37,37,2.1531152725219727,2.5396728515625,1.56976318359375,1.21112060546875,0.21973907947540283,2.1531152725219727,1.99993896484375,0.82891845703125,0.72845458984375,0.11916661262512207,1.1547266244888306,0.947507917881012,-0.03395107388496399,0.10840614140033722,-1.387301836075494e-06,1.2912836074829102,1.1944608688354492,0.3988511860370636,0.2856500446796417,0.04136780649423599,1.0,409.0,1036.0,788.0,1990.0,1.6674224138259888,1.674344539642334,2.0782649517059326,2.5501644611358643,2.8806607723236084,0,0,0,0,0,0.8942471146583557,0.7932515144348145,-0.08512216061353683,0.37950682640075684,-3.3535783586557955e-05,1.2649426460266113,1.3584119081497192,-0.3158611059188843,0.9613675475120544,-0.12262798845767975,1.717445969581604,1.9686540365219116,1.682132601737976,2.562473773956299,2.2651915550231934
10,Tue Apr 26 15:43:27 2022,39,39,39,39,39,2.142972707748413,2.59576416015625,1.52734375,1.26678466796875,0.21243417263031006,2.142972707748413,1.99993896484375,0.78717041015625,0.7286376953125,0.11337733268737793,1.1557844877243042,0.9507931470870972,-0.03394004702568054,0.10764262825250626,-3.5817400203086436e-05,1.2912447452545166,1.1921169757843018,0.4055238664150238,0.2858720123767853,0.04153741896152496,1.0,349.0,1035.0,730.0,1980.0,1.6596177816390991,1.6776365041732788,1.9411197900772095,2.5488247871398926,2.729522705078125,0,0,0,0,0,0.8950932621955872,0.7975670099258423,-0.08369432389736176,0.3765413463115692,-0.0008622923633083701,1.2654937505722046,1.3595014810562134,-0.3319116532802582,0.9486136436462402,-0.14264117181301117,1.7196060419082642,1.973037838935852,1.664401650428772,2.581773281097412,2.270972728729248
